SNo,City/ Towns,Census,Census,Census,Estimates,Estimates,Rank,Region
,,01-Mar-70,18-Mar-84,26-Mar-00,01-Jan-07,01-Jan-13,,
1,Accra,"5,64,194","8,67,459","16,59,136","20,96,653","22,91,352",1,Greater Accra
2,Kumasi,"2,60,286","4,89,586","11,71,311","16,04,909","20,69,350",2,Ashanti
3,Tamale,"83,653","1,35,952","2,93,879","3,90,730","5,62,919",3,Northern
4,Sekondi-Takoradi,"58,161","61,484","1,75,438","2,60,651","4,45,205",4,Western
5,Ashiaman,"22,549","50,918","1,50,312","2,28,509","2,98,841",5,Greater Accra
6,Sunyani,"28,780","40,634","1,00,992","2,10,748","2,48,496",6,Brong-Ahafo
7,Cape Coast,"51,653","57,224","1,18,105","1,54,204","2,27,269",7,Central
8,Obuasi,"31,005","60,617","1,15,564","1,47,613","1,80,334",8,Ashanti
9,Teshie,"39,382","59,552","92,359","1,54,513","1,76,597",9,Greater Accra
10,Tema,"60,767","1,00,052","1,41,479","1,61,106","1,61,612",10,Greater Accra
11,Madina,"7,480","28,364","76,697","1,12,888","1,43,356",11,Greater Accra
12,Koforidua,"46,235","58,731","87,315","99,890","1,30,810",12,Eastern
13,Wa,"13,740","36,067","66,644","83,091","1,05,821",13,Upper West
14,Techiman,"12,068","25,264","56,187","75,932","1,04,212",14,Brong-Ahafo
15,Ho,"24,199","37,777","61,658","73,498","99,375",15,Volta
16,Nungua,"13,839","29,146","62,902","75,622","86,431",16,Greater Accra
17,Lashibi,N/A,507,"30,193","54,789","86,188",17,Greater Accra
18,Dome,772,"1,954","29,618","56,655","84,904",18,Greater Accra
19,Tema New Town,"13,176","31,466","58,786","74,874","83,267",19,Greater Accra
20,Gbawe,608,837,"28,989","52,910","80,991",20,Greater Accra
21,Oduponkpehe,863,"2,597","34,719","48,228","80,820",21,Central
22,Ejura,"10,664","18,775","29,478","49,954","75,390",22,Ashanti
23,Taifa,N/A,"1,009","26,145","48,927","74,264",23,Greater Accra
24,Bawku,"20,567","34,074","51,379","59,055","71,074",24,Upper East
25,Aflao,"1,397","20,904","38,927","48,876","69,284",25,Volta
26,Agona Swedru,"21,522","31,226","45,614","52,161","68,216",26,Central
27,Bolgatanga,"18,896","32,495","49,162","56,583","68,183",27,Upper East
28,Tafo,N/A,"25,688",N/A,"53,165","62,382",28,Ashanti
29,Berekum,"14,296","22,264","39,649","49,149","62,364",29,Brong-Ahafo
30,Nkawkaw,"23,219","31,785","43,703","48,503","61,785",30,Eastern
31,Akim Oda,"20,957","24,629","38,741","45,332","60,604",31,Eastern
32,Winneba,"30,778","27,105","40,017","45,954","60,331",32,Central
33,Hohoe,"14,775","20,994","35,277","42,550","58,155",33,Volta
34,Yendi,"22,072","31,633","40,336","43,908","52,774",34,Northern
35,Suhum,"12,421","19,298","31,044","36,650","49,398",35,Eastern
36,Kintapo,N/A,"13,943","28,276",N/A,"49,046",36,Brong-Ahafo
37,Adenta East,N/A,N/A,"31,070","39,730","45,409",37,Greater Accra
38,Nsawam,"25,518","20,439","29,986","34,142","44,522",38,Eastern
39,Mampong,"13,895","20,228","31,740","37,575","42,795",39,Ashanti
40,Konongo,"10,881","13,677","26,735","34,509","42,550",40,Ashanti
41,Asamankese,"16,905","23,077","34,855","37,349","39,435",41,Eastern
42,Wenchi,"13,836","18,583","28,141","32,735","39,187",42,Brong-Ahafo
43,Savelugu,"9,895","16,965","24,937","30,529","39,092",43,Northern
44,Agogo,"14,710","18,879","28,271","32,859","36,797",44,Ashanti
45,Anloga,"14,032","18,993","20,886","30,857","36,771",45,Volta
46,Prestea,"5,143","16,922","21,844","33,170","35,760",46,Western
47,Effiakuma,N/A,N/A,N/A,"31,876","35,094",47,Western
48,Tarkwa,"4,702","22,107","30,631","34,544","34,941",48,Western
49,Elmina,N/A,"17,000",N/A,N/A,"33,576",49,Central
50,Dunkwa-on-Offin,N/A,"16,900",N/A,N/A,"33,379",50,Central
51,Begoro,N/A,"18,200",N/A,N/A,"29,516",51,Eastern
52,Kpandu,N/A,"15,700",N/A,N/A,"28,917",52,Volta
53,Kintampo,"7,149","13,943","28,276","36,890","27,921",53,Brong-Ahafo
54,Navrongo,N/A,N/A,N/A,N/A,"27,524",54,Upper East
55,Axim,N/A,"13,100",N/A,N/A,"27,719",55,Western
56,Apam,N/A,"13,400",N/A,N/A,"26,466",56,Central
57,Salaga,N/A,"11,400",N/A,N/A,"26,153",57,Northern
58,Saltpond,N/A,N/A,N/A,N/A,"24,689",58,Central
59,Akwatia,N/A,N/A,N/A,N/A,"23,766",59,Eastern
60,Shama,N/A,"11,200",N/A,N/A,"23,699",60,Western
61,Keta,N/A,"12,600",N/A,N/A,"23,207",61,Volta
62,Nyakrom,N/A,"11,600",N/A,N/A,"22,911",62,Central
63,Bibiani,N/A,"10,200",N/A,N/A,"21,583",63,Western
64,Somanya,N/A,N/A,N/A,N/A,"20,596",64,Eastern
65,Foso,N/A,"10,400",N/A,N/A,"20,541",65,Central
66,Aburi,N/A,"11,531",N/A,N/A,"18,701",66,Eastern
67,Mumford,N/A,N/A,N/A,N/A,"18,368",67,Central
68,Bechem,N/A,"8,800",N/A,N/A,"17,677",68,Brong-Ahafo
69,Duayaw Nkwanta,N/A,"8,700",N/A,N/A,"17,476",69,Brong-Ahafo
70,Kade,N/A,"10,200",N/A,N/A,"16,542",70,Eastern
71,Anomabu,N/A,"6,800",N/A,N/A,"14,389",71,Central
72,Akropong,N/A,"8,500",N/A,N/A,"13,785",72,Eastern
73,Kete-Krachi,N/A,"6,400",N/A,N/A,"11,788",73,Volta
74,Kibi,N/A,"7,200",N/A,N/A,"11,677",74,Eastern
75,Kpandae,N/A,"5,030",N/A,N/A,"11,540",75,Northern
76,Mpraeso,N/A,"6,900",N/A,N/A,"11,190",76,Eastern
77,Akim Swedru,N/A,"6,400",N/A,N/A,"10,379",77,Eastern
78,Aboso,N/A,"4,700",N/A,N/A,"9,945",78,Western
79,Bekwai,N/A,"2,169",N/A,N/A,"5,267",79,Ashanti
